DIVIPOLA;DEPARTAMENTO;COD MUNICIPIO;MUNICIPIO;FASE;METODO;COORD;INICIO
19;CAUCA;19701;SANTA ROSA;2;BARRIDO;CAUCA;SI
66;RISARALDA;66682;SANTA ROSA DE CABAL;2;BARRIDO;RISARALDA;SI
15;BOYACÁ;15693;SANTA ROSA DE VITERBO;2;BARRIDO;BOYACÁ;SI
50;VICHADA;99624;SANTA ROSALÍA;2;BARRIDO;META;SI
15;BOYACÁ;15696;SANTA SOFÍA;2;BARRIDO;BOYACÁ;SI
52;NARIÑO;52699;SANTACRUZ;2;BARRIDO;NARIÑO;NO
15;BOYACÁ;15686;SANTANA;2;BARRIDO;BOYACÁ;SI
19;CAUCA;19698;SANTANDER DE QUILICHAO;2;BARRIDO;CAUCA;SI
86;PUTUMAYO;86760;SANTIAGO;2;BARRIDO;PUTUMAYO;SI
70;SUCRE;70820;SANTIAGO DE TOLÚ;2;BARRIDO;SUCRE;SI
66;RISARALDA;66687;SANTUARIO;2;BARRIDO;RISARALDA;SI
52;NARIÑO;52720;SAPUYES;2;BARRIDO;NARIÑO;SI
81;ARAUCA;81736;SARAVENA;2;MIXTO;ARAUCA;SI
15;BOYACÁ;15720;SATIVANORTE;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15723;SATIVASUR;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15740;SIACHOQUE;2;BARRIDO;BOYACÁ;SI
86;PUTUMAYO;86749;SIBUNDOY;2;BARRIDO;PUTUMAYO;SI
19;CAUCA;19743;SILVIA;2;BARRIDO;CAUCA;SI
70;SUCRE;70001;SINCELEJO;2;BARRIDO;SUCRE;SI
47;MAGDALENA;47745;SITIONUEVO;2;BARRIDO;MAGDALENA;SI
15;BOYACÁ;15753;SOATÁ;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15757;SOCHA;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15755;SOCOTÁ;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15759;SOGAMOSO;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15761;SOMONDOCO;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15762;SORA;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15764;SORACÁ;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15763;SOTAQUIRÁ;2;BARRIDO;BOYACÁ;SI
19;CAUCA;19760;SOTARA;2;BARRIDO;CAUCA;SI
19;CAUCA;19780;SUÁREZ;2;BARRIDO;CAUCA;SI
73;TOLIMA;73770;SUÁREZ;2;BARRIDO;TOLIMA;SI
41;HUILA;41770;SUAZA;2;BARRIDO;HUILA;SI
19;CAUCA;19785;SUCRE;2;BARRIDO;CAUCA;SI
70;SUCRE;70771;SUCRE;2;BARRIDO;SUCRE;SI
17;CALDAS;17777;SUPÍA;2;BARRIDO;CALDAS;SI
15;BOYACÁ;15774;SUSACÓN;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15776;SUTAMARCHÁN;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15778;SUTATENZA;2;BARRIDO;BOYACÁ;SI
20;CESAR;20787;TAMALAMEQUE;2;BARRIDO;CESAR;SI
85;CASANARE;85400;TÁMARA;2;MIXTO;CASANARE;SI
81;ARAUCA;81794;TAME;2;MIXTO;ARAUCA;SI
52;NARIÑO;52786;TAMINANGO;2;BARRIDO;NARIÑO;SI
52;NARIÑO;52788;TANGUA;2;BARRIDO;NARIÑO;SI
41;HUILA;41791;TARQUI;2;BARRIDO;HUILA;SI
15;BOYACÁ;15790;TASCO;2;BARRIDO;BOYACÁ;SI
85;CASANARE;85410;TAURAMENA;2;BARRIDO;CASANARE;SI
41;HUILA;41799;TELLO;2;BARRIDO;HUILA;SI
47;MAGDALENA;47798;TENERIFE;2;BARRIDO;MAGDALENA;SI
15;BOYACÁ;15798;TENZA;2;BARRIDO;BOYACÁ;SI
41;HUILA;41801;TERUEL;2;BARRIDO;HUILA;SI
41;HUILA;41797;TESALIA;2;BARRIDO;HUILA;SI
15;BOYACÁ;15804;TIBANÁ;2;BARRIDO;BOYACÁ;SI
15;BOYACÁ;15806;TIBASOSA;2;BARRIDO;BOYACÁ;SI
