ID_DEPTO;DEPARTAMENTO;ID_MPIO;MUNICIPIO;MÉTODO;FASE;"TRANSMITIDAS
A";"NOTIFICADAS
B";% TRANSMISIÓN (A/B);REPORTE INICIO DE OPERACIÓN CONAL 30/05;;;
25;CUNDINAMARCA;25290;FUSAGASUGÁ;BARRIDO;2;11863;13800;85,96%;SI;;;
05;ANTIOQUIA;5306;GIRALDO;BARRIDO;2;601;699;85,98%;SI;;;
19;CAUCA;19392;LA SIERRA;BARRIDO;3;640;744;86,02%;SI;;;
68;SANTANDER;68051;ARATOCA;BARRIDO;2;1034;1202;86,02%;SI;;;
73;TOLIMA;73686;SANTA ISABEL;BARRIDO;3;669;777;86,10%;SI;;;
68;SANTANDER;68397;LA PAZ;BARRIDO;2;465;540;86,11%;SI;;;
68;SANTANDER;68533;PÁRAMO;BARRIDO;2;987;1146;86,13%;SI;;;
05;ANTIOQUIA;5490;NECOCLÍ;BARRIDO;2;1268;1472;86,14%;SI;;;
54;NORTE DE SANTANDER;54344;HACARÍ;BARRIDO;2;687;797;86,20%;SI;;;
15;BOYACÁ;15897;ZETAQUIRA;BARRIDO;3;356;413;86,20%;SI;;;
05;ANTIOQUIA;5282;FREDONIA;BARRIDO;2;2563;2968;86,35%;SI;;;
20;CESAR;20550;PELAYA;BARRIDO;3;1184;1371;86,36%;SI;;;
05;ANTIOQUIA;5467;MONTEBELLO;BARRIDO;2;887;1027;86,37%;SI;;;
05;ANTIOQUIA;5004;ABRIAQUÍ;BARRIDO;2;602;697;86,37%;SI;;;
17;CALDAS;17272;FILADELFIA;BARRIDO;3;1065;1233;86,37%;SI;;;
85;CASANARE;85225;NUNCHÍA;BARRIDO;3;966;1118;86,40%;SI;;;
